job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
猎头实习生,120元/日,广州,实习5天/周,猎头顾问/助理,1人,18:40发布,广州正略钧策企业管理咨询有限公司,,,房地产开发/建筑/建材/工程
数据开发,年薪30-36w,深圳-福田区,应届,数据开发,3人,20:18发布,北京视锦达科技有限公司,,,
运营支持类,面议,惠州,应届,柜员/银行会计,15人,18:01发布,兴业银行股份有限公司惠州分行,国内上市公司,100-499人,银行
储备干部,年薪7-18w,深圳,应届,储备干部,30人,21:37发布,华思旭,私营·民营企业,100-499人,电子技术/半导体/集成电路
财务岗管培生,年薪7-12w,深圳,应届,管理培训生,3人,18:35发布,深圳天安智慧园区运营有限公司,中外合营(合资·合作),2000-5000人,房地产服务(物业管理/地产经纪)
管理培训生,年薪5-8w,安庆-怀宁县,应届,管理培训生,不限,18:00发布,玺拓集团,私营·民营企业,500-999人,计算机软件
广东分公司-风险管理岗（风险合规类）,年薪8-10w,广州,应届,保险内勤,不限,20:15发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
销售行政助理,120元/日,北京-朝阳区,实习5天/周,销售行政专员/助理,2人,19:07发布,北京星映传媒广告有限公司,私营·民营企业,100-499人,互联网/移动互联网/电子商务
2021届应届生无人驾驶算法工程师,年薪12-24w,深圳-宝安区,应届,算法工程师,不限,18:49发布,深圳市镭神智能系统有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
经理助理/秘书,年薪6-10w,上海-普陀区,应届,秘书/文员,不限,19:46发布,新壹云,私营·民营企业,50-99人,互联网/移动互联网/电子商务
产品经理,年薪14-17w,武汉-硚口区,应届,产品经理,3人,19:40发布,北京物腾联同创科技有限公司,私营·民营企业,2000-5000人,社交网络
机械工程师,年薪8-10w,泰州,应届,机械工程师,30人,20:18发布,可胜科技(苏州)有限公司,外商独资·外企办事处,10000人以上,电子设备
产品经理,年薪14-17w,沧州,应届,产品经理,3人,19:40发布,北京物腾联同创科技有限公司,私营·民营企业,2000-5000人,社交网络
21秋校：IC设计工程师,年薪12-17w,广州-黄埔区,应届,集成电路IC设计/应用工程师,不限,18:15发布,金升阳科技,私营·民营企业,2000-5000人,电子技术/半导体/集成电路
【2021届】Web前端开发工程师,年薪17-23w,广州,应届,WEB前端开发工程师,10人,19:08发布,四三九九信息科技,私营·民营企业,1000-2000人,游戏开发
